n,temps_creer_ABR_complet,temps_creer_ABR_filiforme,temps_recherche_1_A,temps_recherche_1_A_prime
10,0.9953708648681641,0.9871602058410645,0.0,0.0
20,2.0848233699798584,2.0915486812591553,0.0,0.0
50,5.523989677429199,5.763845682144165,0.0,0.0
100,10.823671102523804,10.94756007194519,0.0,0.0
200,22.356754541397095,21.972733736038208,0.0,0.0
